experiment_id,reviewer_id,image_id,dataset_index,class_id,class_name,cutoff_radius,layout_score,identity_score,high_localization_score,ambiguous,failure_category,comment
E004,B,cifar10-test-00003,3,0,airplane,2,,,,,,
E004,B,cifar10-test-00003,3,0,airplane,3,,,,,,
E004,B,cifar10-test-00003,3,0,airplane,4,,,,,,
E004,B,cifar10-test-00003,3,0,airplane,5,,,,,,
E004,B,cifar10-test-00003,3,0,airplane,6,,,,,,
E004,B,cifar10-test-00003,3,0,airplane,8,,,,,,
E004,B,cifar10-test-00010,10,0,airplane,2,,,,,,
E004,B,cifar10-test-00010,10,0,airplane,3,,,,,,
E004,B,cifar10-test-00010,10,0,airplane,4,,,,,,
E004,B,cifar10-test-00010,10,0,airplane,5,,,,,,
E004,B,cifar10-test-00010,10,0,airplane,6,,,,,,
E004,B,cifar10-test-00010,10,0,airplane,8,,,,,,
E004,B,cifar10-test-00006,6,1,automobile,2,,,,,,
E004,B,cifar10-test-00006,6,1,automobile,3,,,,,,
E004,B,cifar10-test-00006,6,1,automobile,4,,,,,,
E004,B,cifar10-test-00006,6,1,automobile,5,,,,,,
E004,B,cifar10-test-00006,6,1,automobile,6,,,,,,
E004,B,cifar10-test-00006,6,1,automobile,8,,,,,,
E004,B,cifar10-test-00009,9,1,automobile,2,,,,,,
E004,B,cifar10-test-00009,9,1,automobile,3,,,,,,
E004,B,cifar10-test-00009,9,1,automobile,4,,,,,,
E004,B,cifar10-test-00009,9,1,automobile,5,,,,,,
E004,B,cifar10-test-00009,9,1,automobile,6,,,,,,
E004,B,cifar10-test-00009,9,1,automobile,8,,,,,,
E004,B,cifar10-test-00025,25,2,bird,2,,,,,,
E004,B,cifar10-test-00025,25,2,bird,3,,,,,,
E004,B,cifar10-test-00025,25,2,bird,4,,,,,,
E004,B,cifar10-test-00025,25,2,bird,5,,,,,,
E004,B,cifar10-test-00025,25,2,bird,6,,,,,,
E004,B,cifar10-test-00025,25,2,bird,8,,,,,,
E004,B,cifar10-test-00035,35,2,bird,2,,,,,,
E004,B,cifar10-test-00035,35,2,bird,3,,,,,,
E004,B,cifar10-test-00035,35,2,bird,4,,,,,,
E004,B,cifar10-test-00035,35,2,bird,5,,,,,,
E004,B,cifar10-test-00035,35,2,bird,6,,,,,,
E004,B,cifar10-test-00035,35,2,bird,8,,,,,,
E004,B,cifar10-test-00000,0,3,cat,2,,,,,,
E004,B,cifar10-test-00000,0,3,cat,3,,,,,,
E004,B,cifar10-test-00000,0,3,cat,4,,,,,,
E004,B,cifar10-test-00000,0,3,cat,5,,,,,,
E004,B,cifar10-test-00000,0,3,cat,6,,,,,,
E004,B,cifar10-test-00000,0,3,cat,8,,,,,,
E004,B,cifar10-test-00008,8,3,cat,2,,,,,,
E004,B,cifar10-test-00008,8,3,cat,3,,,,,,
